The dark is rising!	neg
Bad attempt by the people that borough us Eragon.	neg
fantasy movie lacks magic	neg
You Just Can't Beat The Lord Of The Rings, Guys	neg
Not having read the book, I found it average	pos
Journey to Jupiter with Cynthia McKinney	neg
The Dark is Boring!	neg
Potter's Crown is Safe	pos
Completely Fun	pos
Scorsese Missed the Mark	pos
Pompous disjointed mess	neg
Ugly and Overlong	neg
Put Scorsese Back on the Map.	pos
Frankengangs!	pos
Martin Scorcese sure hates short movies	pos
long,but doesn't feel like it	pos
Interesting Piece of New York History	pos
Blood without grit	pos
One great Scorsese epic	pos
A masterpiece of semi-fictional history	pos
Day Lewis on top form in good period drama	pos
Good But Not Scorsese Good.	pos
History class never had been so much cool!	pos
Wretched Refuse, Teeming Shores	pos
Watch this for Daniel Day-Lewis	pos
Another brutal masterpiece from the maestro	pos
Should have won the Oscar here...	pos
waste of talent	neg
Day-Lewis was the master "gang" leader in this one!	pos
I don't get it. Maybe I saw a different movie than the rest.	neg
A Tremendous Achievement	pos
Long, but worth it.	pos
One of my favorite Scorsese films.Daniel Day Lewis gives it momentum.	pos
Born in the streets	pos
When Daniel Day-Lewis gives a bad performance, you know you're in trouble	neg
Totally Underrated!	pos
Chicago won The Best Picture over the Gangs Of New York!Can somebody please rewind the time back in 2002 and blow up the Academy!Thank you!	pos
The earth turns but we don't feel it move	pos
A Compelling Watch!	pos
It'll be talked about for decades to come...	pos
Grandiose.	pos
Scorsese and Day-Lewis is back with a vengeance	pos
A Bona Fide Gangster Movie	pos
The urban jungle is a nest for both snakes and pearls	pos
Nicely  told story of mixed elements.	pos
personal and Bloody	pos
too long and pretentious	neg
too much of a good thing	pos
Strong and Entertaining	pos
Powerful and evocative	pos
Scorsese's Worst! .. Daniel-Day's Great Performance Didn't Save This Movie From Falling Down; It Makes The Movie Just a Muscle Show!	neg
Martin Scorsese's Gangs of New York	pos
An Army Of One - Daniel Day-Lewis	pos
Recreating a Slice of Time; Educating, Edifying and Enchanting its audience, all at the Same Time!	pos
Great historic film	pos
One of the best films I've ever seen	pos
Great film, a must see in cinema yet not Martin Scorsese's best	pos
Probably one of the most memorable roles by Daniel Day-Lewis	pos
Big budget action flick. Day Lewis saves the day.	pos
Yawn, yawn, yawn, yawn....	pos
Personal Vs. Political	pos
What an odd, odd film.	pos
Violent nonsensical historical crap	neg
Epic but mostly gratuitous	pos
A Monumental Achievement	pos
The whole may not add up to the sum of its parts, but it's difficult to dismiss the brilliance of those parts!!!	pos
A Story Almost Absent in American Memory	pos
A messy yet thrilling historical epic	pos
Evil is in the Eye of the Beholder	pos
daniel day lewis!!!!!!!!!!!!!!!!!!!!!!!!!	pos
Excessive talent dished up with too much monosodium glutamate	pos
Gangs Of New York A Solid Action Crime Drama	pos
Very Different Movie For The Main Cast and Director,and Done Very Well,	pos
Trying too hard to top his other films, Scorsese was shunned by the Academy yet again	pos
Too blustery and overblown to be entertaining	pos
Worst film of the year	neg
Gripping most of the time and thoroughly interesting throughout, the film succeeds on a dramatic, political and juxtaposed level.	pos
Engaging, Low-Key Thriller	pos
Uneasy combination of realism and thriller	pos
