also I was the point person on my company's transition from the KL-5 to GR-6 system.	You must've had your hands full.	neutral
You must've had your hands full.	That I did. That I did.	neutral
That I did. That I did.	So let's talk a little bit about your duties.	neutral
So let's talk a little bit about your duties.	My duties?  All right.	surprise
My duties?  All right.	Now you'll be heading a whole division, so you'll have a lot of duties.	neutral
Now you'll be heading a whole division, so you'll have a lot of duties.	I see.	neutral
I see.	But there'll be perhaps 30 people under you so you can dump a certain amount on them.	neutral
But there'll be perhaps 30 people under you so you can dump a certain amount on them.	Good to know.	neutral
Good to know.	We can go into detail	neutral
We can go into detail	No don't I beg of you!	fear
No don't I beg of you!	All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.	neutral
All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.	Really?!	surprise
Really?!	Absolutely.  You can relax; you did great.	neutral
Absolutely.  You can relax; you did great.	But then who? The waitress I went out with last month?	surprise
But then who? The waitress I went out with last month?	You know? Forget it!	non-neutral
You know? Forget it!	No-no-no-no, no! Who, who were you talking about?	surprise
No-no-no-no, no! Who, who were you talking about?	No, I-I-I-I don't, I actually don't know	non-neutral
No, I-I-I-I don't, I actually don't know	Ok!	neutral
Ok!	All right, well...	neutral
All right, well...	I'm gonna see if I can get a room for the night and I'll...	non-neutral
I'm gonna see if I can get a room for the night and I'll...	I'll see you later!	non-neutral
I'll see you later!	Yeah, sure!	neutral
Hey, Mon.	Hey-hey-hey. You wanna hear something that sucks.	neutral
Hey-hey-hey. You wanna hear something that sucks.	Do I ever.	joy
Do I ever.	Chris says they're closing down the bar.	sadness
Chris says they're closing down the bar.	No way!	surprise
No way!	Yeah, apparently they're turning it into some kinda coffee place.	neutral
Yeah, apparently they're turning it into some kinda coffee place.	Just coffee! Where are we gonna hang out now?	non-neutral
Just coffee! Where are we gonna hang out now?	Got me.	sadness
Got me.	Can I get a beer.	neutral
Can I get a beer.	Hey, did you pick a roommate?	neutral
Hey, did you pick a roommate?	You betcha!	joy
You betcha!	Is it the Italian guy?	neutral
Is it the Italian guy?	Um-mm, yeah right!	non-neutral
Um-mm, yeah right!	Oh my God, oh my God! Poor Monica!	surprise
Oh my God, oh my God! Poor Monica!	What, what, what?!	surprise
What, what, what?!	What?!	surprise
What?!	He was with her when he wrote this poem.	neutral
He was with her when he wrote this poem.	Look,  'My vessel so empty with nothing inside.	neutral
Look,  'My vessel so empty with nothing inside.	Now that I've touched you, you seem emptier still.'	neutral
Now that I've touched you, you seem emptier still.'	He thinks Monica is empty, she is the empty vase!	surprise
He thinks Monica is empty, she is the empty vase!	You really think that is what he meant?	non-neutral
You really think that is what he meant?	Oh, totally. Oh, God, oh, she seemed so happy too.	sadness
Oh, totally. Oh, God, oh, she seemed so happy too.	Done.	neutral
Hey!	Hi!	non-neutral
Hi!	What are you doing here?	surprise
What are you doing here?	Ah y'know, this building is on my paper route so I...	neutral
Ah y'know, this building is on my paper route so I...	Oh.	neutral
Oh.	Hi.	neutral
Hi.	Hi.	neutral
Hi.	How'd did it go?	neutral
How'd did it go?	Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.	joy
Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.	I'm so proud of you.	joy
I'm so proud of you.	Me too!	joy
Me too!	Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...	non-neutral
Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...	I know.	neutral
I know.	Yeah.	neutral
Yeah.	Yeah.	neutral
Yeah.	Ameri-can.	neutral
Ameri-can.	Ameri-ccan.	neutral
Ameri-ccan.	Ameri-can. Y'know it's a	neutral
Ameri-can. Y'know it's a	Everybody!!	surprise
Good job Joe! Well done! Top notch!	You liked it? You really liked it?	surprise
You liked it? You really liked it?	Oh-ho-ho, yeah!	joy
Oh-ho-ho, yeah!	Which part exactly?	neutral
Which part exactly?	The whole thing! Can we go?	neutral
The whole thing! Can we go?	Oh no-no-no, give me some specifics.	non-neutral
Oh no-no-no, give me some specifics.	I love the specifics, the specifics were the best part!	non-neutral
I love the specifics, the specifics were the best part!	Hey, what about the scene with the kangaroo? Did-did you like that part?	neutral
Hey, what about the scene with the kangaroo? Did-did you like that part?	I was surprised to see a kangaroo in a World War I epic.	non-neutral
I was surprised to see a kangaroo in a World War I epic.	You fell asleep!!	anger
You fell asleep!!	There was no kangaroo!	anger
There was no kangaroo!	They didn't take any of my suggestions!	non-neutral
They didn't take any of my suggestions!	That's for coming buddy.	neutral
That's for coming buddy.	I'll see you later.	neutral
I'll see you later.	Don't go!	sadness
Don't go!	I'm sorry.	sadness
I'm sorry.	I'm so sorry!	sadness
I'm so sorry!	Look!	surprise
Look!	This guy fell asleep!	non-neutral
This guy fell asleep!	He fell asleep too!	non-neutral
He fell asleep too!	Be mad at him!	anger
Be mad at him!	Or, call an ambulance.	non-neutral
Okay, look, I think we have to tell Rachel she messed up her dessert.	What?! What is with everybody? It's Thanksgiving, not...Truth-Day!	non-neutral
What?! What is with everybody? It's Thanksgiving, not...Truth-Day!	Yes, and it is my dying wish to have that ring.	neutral
Yes, and it is my dying wish to have that ring.	See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity	neutral
See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity	Okay, that's enough honey!	neutral
Okay, that's enough honey!	I don't know.  Let me see the ring.	neutral
I don't know.  Let me see the ring.	Great! Okay, here.	joy
Great! Okay, here.	All right.	neutral
All right.	Thank you. Thank you. Thank you!  And	joy
What've you been up to?	Oh, you know, the usual, teaching aerobics, partying way too much.	neutral
Oh, you know, the usual, teaching aerobics, partying way too much.	Oh, and in case you were wondering, those are my legs on the new James Bond poster.	neutral
Oh, and in case you were wondering, those are my legs on the new James Bond poster.	Can you hold on a moment? I have another call.  I love her.	joy
Can you hold on a moment? I have another call.  I love her.	I know.	neutral
I know.	I'm back.	neutral
I'm back.	So, are we gonna get together or what?	neutral
So, are we gonna get together or what?	Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?	neutral
Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?	Great, I'll see you then.	neutral
Great, I'll see you then.	Ok.  Ok. Having a phone has finally paid off.	joy
